sig3,eps1,sig1,eps3
5,0.002306702,71.1192,-0.0005258
5,0.002491949,75.84467,-0.0005258
5,0.002521827,74.09167,-0.0005557
5,0.002671219,77.60719,-0.0005676
5,0.002790733,79.70316,-0.0006197
5,0.002701098,78.417,-0.0006931
5,0.003011834,83.71409,-0.0008007
5,0.002895308,81.20369,-0.0009441
5,0.002940125,82.45016,-0.0010935
5,0.003209031,85.41945,-0.001213
5,0.003388302,86.99143,-0.0013176
5,0.003537694,88.32523,-0.0014968
5,0.003746843,89.49231,-0.0016811
5,0.004015749,90.78324,-0.0019258
5,0.004344412,91.77088,-0.0020645
5,0.004702953,92.56481,-0.0023185
5,0.005061495,93.07293,-0.0027069
5,0.005420036,93.35874,-0.0030654
5,0.005778577,93.46989,-0.003424
5,0.006137118,93.46989,-0.0037825
5,0.00649566,93.34286,-0.0041411
5,0.006854201,93.08881,-0.0044996
5,0.007212742,92.61245,-0.0048581
5,0.007571283,91.86933,-0.0052167
5,0.008138974,90.36404,-0.0055752
5,0.00840788,89.11122,-0.0059338
5,0.00860209,87.92033,-0.0062923
5,0.00871264,86.72467,-0.0066509
5,0.008856056,85.39563,-0.0070094
5,0.008945692,83.89511,-0.0073679
5,0.009035327,82.46604,-0.0077265
5,0.009095084,81.02108,-0.008085
5,0.009139902,79.67934,-0.0084436
5,0.009199658,78.29791,-0.0088021
5,0.009274355,77.17847,-0.0091606
5,0.009334111,75.9717,-0.0095192
5,0.009393868,74.65377,-0.0098777
5,0.009513382,73.46288,-0.0102363
5,0.009632896,72.00999,-0.0105948
5,0.00975241,70.67619,-0.0109533
5,0.009895826,69.28999,-0.0113119
5,0.010021316,68.08004,-0.0116704
5,0.010150789,67.07969,-0.012029
5,0.0103201,65.73001,-0.0123875
5,0.010529249,64.50736,-0.0127461
5,0.01070852,63.3641,-0.0131046
5,0.010917669,62.14939,-0.0134631
5,0.011150721,60.73461,-0.0138217
5,0.011395724,59.60088,-0.0141802
5,0.011634751,58.4338,-0.0145388
5,0.011903657,57.26673,-0.0148973
5,0.012202442,56.00915,-0.0152558
5,0.012501226,54.86589,-0.0156144
5,0.012829889,53.74168,-0.0159729
5,0.01318843,52.70958,-0.0163315
5,0.013546972,51.78862,-0.01669
5,0.013905513,51.07408,-0.0170486
5,0.014264054,50.43894,-0.0174071
5,0.014622595,50.13725,-0.0177656
5,0.014981137,50.08961,-0.0181242
5,0.015339678,49.9467,-0.0184528
5,0.015698219,50.07373,-0.0187217
5,0.01605676,50.12137,-0.0189309
5,0.016415302,50.12137,-0.0190982
5,0.016773843,50.12137,-0.0192596
5,0.017132384,50.12137,-0.019385
5,0.017490926,50.12137,-0.0195285
5,0.017849467,50.12137,-0.019648
5,0.018208008,50.12137,-0.0197675
5,0.018566549,50.12137,-0.0198571
10,-5.04E-06,10.40729,-0.0000178
10,0.0000555,13.04602,-0.0000178
10,-2.90E-06,11.51085,-0.0000344
10,0.0001241,14.94062,-0.0000477
10,0.0002013,16.34588,-0.0000477
10,0.0002212,17.6638,-0.0000627
10,0.0002945,20.34728,-0.0000676
10,0.0002511,18.82293,-0.0000676
10,0.0003706,22.1098,-0.0000776
10,0.0004244,24.49159,-0.0000776
10,0.0003108,23.39596,-0.0000776
10,0.0004816,26.13162,-0.0000776
10,0.00052,28.23893,-0.0000989
10,0.000505,27.25446,-0.0001075
10,0.0006779,31.56209,-0.0001075
10,0.0007052,33.26609,-0.0001075
10,0.0008262,35.73362,-0.0001075
10,0.0009084,38.02694,-0.0001075
10,0.0007291,29.68388,-0.0001075
10,0.0009681,41.29509,-0.0001075
10,0.0008188,34.06637,-0.0001075
10,0.0009921,43.3077,-0.0001075
10,0.000998,39.80648,-0.0001075
10,0.0011474,41.68809,-0.000116
10,0.0012072,44.30805,-0.0001274
10,0.0012968,49.73853,-0.0001374
10,0.0012669,48.16655,-0.0001374
10,0.0012669,47.02329,-0.0001374
10,0.0012669,45.88003,-0.0001672
10,0.0013665,51.31051,-0.000227
10,0.0014263,53.0254,-0.0002469
