sig3,eps1,sig1,eps3
10,0.003529072,158.33364,-0.000652643
10,0.003681969,162.97213,-0.000767315
10,0.003796641,167.90766,-0.00079025
10,0.003987761,171.95206,-0.000847586
10,0.004140658,175.92791,-0.000847586
10,0.004312666,181.13764,-0.000881987
10,0.004392937,184.83929,-0.000962258
10,0.004736954,190.26838,-0.001019594
10,0.004771355,193.13374,-0.001048262
10,0.005427535,191.08488,-0.00107693
10,0.005822518,187.12427,-0.001191603
10,0.005832074,183.05702,-0.001363611
10,0.005975414,178.94407,-0.001501218
10,0.006113021,173.37788,-0.001669404
10,0.006147422,153.38896,-0.001936972
10,0.006147422,168.38751,-0.002166317
10,0.006147422,165.09715,-0.00256767
10,0.006204759,149.6736,-0.003255703
10,0.006319431,161.20356,-0.003943737
10,0.006376767,158.28794,-0.00463177
10,0.006686382,153.19702,-0.005319804
10,0.007053333,149.24859,-0.006007838
10,0.007294145,145.6292,-0.006695871
10,0.007351481,142.24744,-0.007383905
10,0.007408817,138.77429,-0.008071938
10,0.007466153,135.66673,-0.008759972
10,0.007557891,130.32904,-0.009448006
10,0.007695498,124.92737,-0.010078703
10,0.008211523,121.27141,-0.010594728
10,0.008899557,119.39774,-0.010996081
10,0.009415582,117.29556,-0.011340098
10,0.009530254,113.09122,-0.01145477
10,0.009530254,109.80086,-0.01173326
10,0.009576123,105.432,-0.011741451
10,0.009644927,100.72953,-0.011841789
10,0.009845603,96.06819,-0.012429484
10,0.010103616,92.43508,-0.013002846
10,0.010378829,91.00926,-0.013690879
10,0.01107833,92.98348,-0.014378913
10,0.011766363,92.98348,-0.015066947
10,0.012454397,93.16627,-0.01575498
10,0.013142431,93.76037,-0.016443014
10,0.013830464,94.08026,-0.017131047
10,0.014518498,94.08026,-0.017819081
10,0.015091859,94.08026,-0.018507115
15,0.000127129,28.10907527,-4.48799E-05
15,0.000241801,32.39568012,-4.48799E-05
15,0.000471145,36.06991285,-4.48799E-05
15,0.000631686,40.84093146,-4.48799E-05
15,0.00079605,45.97754538,-4.48799E-05
15,0.000910722,50.27329011,-4.48799E-05
15,0.000929834,55.08696151,-4.48799E-05
15,0.001178291,60.28146134,-4.48799E-05
